duration,pkts_rate,bytes_rate,size_mean,size_std,size_q1,size_q2,size_q3,size_min,size_max,n_pkts,n_bytes
30.076358795166016,0.1329948225196361,11.637046970468157,87.5,21.5,66.0,87.5,109.0,66.0,109.0,4.0,350.0
30.059563875198364,0.13306912956579295,11.443945142658192,86.0,20.0,66.0,86.0,106.0,66.0,106.0,4.0,344.0
40.95975995063782,0.12207102790704077,8.056687841864692,66.0,0.0,66.0,66.0,66.0,66.0,66.0,5.0,330.0
40.96202802658081,0.12206426880904024,8.056241741396656,66.0,0.0,66.0,66.0,66.0,66.0,66.0,5.0,330.0
0.057702064514160156,34.66080489215767,2738.203586480456,79.0,13.0,72.5,79.0,85.5,66.0,92.0,2.0,158.0
0.19865703582763672,65.43941394192225,14462.110481164818,221.0,270.5728964765176,66.0,78.0,130.0,66.0,907.0,13.0,2873.0
0.0008270740509033203,2418.1631594119344,195871.21591236666,81.0,15.0,73.5,81.0,88.5,66.0,96.0,2.0,162.0
0.1940150260925293,77.31359937475268,34043.75492468277,440.3333333333333,602.5744398458629,66.0,74.0,757.5,66.0,1466.0,15.0,6605.0
40.74543619155884,0.220883633634152,20.19858116454523,91.44444444444444,26.973695462683274,67.0,69.0,120.0,67.0,127.0,9.0,823.0
40.774014949798584,0.1962033910530932,25.727169651836846,131.125,147.36217077323474,75.0,75.0,75.75,75.0,521.0,8.0,1049.0
45.07036304473877,0.5325007028715649,79.78635531358948,149.83333333333334,159.90848077016497,75.0,75.5,81.0,75.0,686.0,24.0,3596.0
0.08862590789794922,90.2670583551237,26798.03294917735,296.875,404.5545196571162,75.0,98.0,225.5,75.0,1292.0,8.0,2375.0
45.07311701774597,0.6655852087662041,105.71711732569875,158.83333333333334,174.39917494708,74.0,80.0,154.25,68.0,692.0,30.0,4765.0
0.049429893493652344,182.07605487063725,60813.40232679284,334.0,409.9794032766904,67.0,134.0,334.0,67.0,1292.0,9.0,3006.0
30.824644088745117,0.38929889881134144,90.28490294933027,231.91666666666666,278.85702977611226,66.0,72.0,243.25,66.0,907.0,12.0,2783.0
30.81215000152588,0.42191148619477103,209.30055188231373,496.0769230769231,629.0085558349818,66.0,66.0,1354.0,66.0,1466.0,13.0,6449.0
39.586190938949585,0.3031360106989475,29.833635719621416,98.41666666666667,27.405772911722245,66.0,121.0,121.0,66.0,123.0,12.0,1181.0
39.58616900444031,0.3031361786651793,29.833652250298062,98.41666666666667,27.405772911722245,66.0,121.0,121.0,66.0,123.0,12.0,1181.0
39.586386919021606,0.30313450996544206,29.833488022432256,98.41666666666667,27.405772911722245,66.0,121.0,121.0,66.0,123.0,12.0,1181.0
39.54660606384277,0.2781528200483741,25.56477282444602,91.9090909090909,28.381987070722243,66.0,66.0,123.0,66.0,123.0,11.0,1011.0
39.54675507545471,0.2781517719724953,25.564676496744795,91.9090909090909,28.381987070722243,66.0,66.0,123.0,66.0,123.0,11.0,1011.0
39.54741907119751,0.2781471018423887,25.564247269332274,91.9090909090909,28.381987070722243,66.0,66.0,123.0,66.0,123.0,11.0,1011.0
15.036189079284668,0.1995186402738906,32.78756321834269,164.33333333333334,139.06433363335435,66.0,66.0,213.5,66.0,361.0,3.0,493.0
15.020069122314453,0.13315517949439493,17.243595744524143,129.5,63.5,97.75,129.5,161.25,66.0,193.0,2.0,259.0
40.04754900932312,0.32461412300097525,31.137985490939702,95.92307692307692,27.711318261015908,66.0,121.0,121.0,66.0,123.0,13.0,1247.0
40.01212120056152,0.2749166919909667,51.309451696132236,186.63636363636363,292.625193946508,66.0,123.0,123.0,66.0,1108.0,11.0,2053.0
0.04065895080566406,196.75864333630435,54280.790730402965,275.875,395.2272882469023,75.0,99.0,184.0,75.0,1292.0,8.0,2207.0
0.02548503875732422,353.1483740597987,129095.35007297085,365.55555555555554,424.1941670485636,67.0,120.0,652.0,67.0,1292.0,9.0,3290.0
36.73860502243042,0.21775459343422737,16.71266504607695,76.75,19.638928178492836,60.0,69.5,86.25,60.0,108.0,8.0,614.0
36.72148513793945,0.21785611257140192,17.156168864997902,78.75,21.370248009791556,60.0,71.5,90.25,60.0,112.0,8.0,630.0
