"No.","Time","Source","Destination","Protocol","Length","Info"
"59","1.126868","128.135.24.73","10.30.217.62","TLSv1.2","447","Application Data"
"60","1.127374","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=4057 Ack=37932 Win=255936 Len=0"
"61","1.127376","10.30.217.62","128.135.24.73","TCP","54","[TCP Window Update] 64561  >  443 [ACK] Seq=4057 Ack=37932 Win=262144 Len=0"
"62","9.243495","10.30.217.62","128.135.24.73","TCP","1514","64561  >  443 [ACK] Seq=4057 Ack=37932 Win=262144 Len=1460 [TCP PDU reassembled in 63]"
"63","9.243510","10.30.217.62","128.135.24.73","TLSv1.2","1013","Application Data"
"64","9.335559","128.135.24.73","10.30.217.62","TCP","60","443  >  64561 [ACK] Seq=37932 Ack=6476 Win=63616 Len=0"
"65","9.335561","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=37932 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 80]"
"66","9.335562","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=39392 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 80]"
"67","9.335814","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=40852 Win=259264 Len=0"
"68","9.337704","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=40852 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 80]"
"69","9.337784","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=42312 Win=260736 Len=0"
"70","9.339746","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=42312 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 80]"
"71","9.339747","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=43772 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 80]"
"72","9.339748","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=45232 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 80]"
